Loading surrogate from checkpoints/phenomd_nonspinning_dense30.pt ...

     q    KC_min   KC_mean    KC_max
 0.120      0.53      1.91     66.27
 0.149      0.45      1.78     64.50
 0.177      0.46      1.75     63.54
 0.206      0.47      1.75     63.07
 0.234      0.47      1.74     62.77
 0.263      0.45      1.71     62.44
 0.292      0.42      1.67     61.87
 0.320      0.38      1.61     61.27
 0.349      0.33      1.56     61.03
 0.378      0.28      1.51     60.90
 0.406      0.23      1.45     60.82
 0.435      0.18      1.40     60.74
 0.463      0.14      1.36     60.66
 0.492      0.11      1.33     60.59
 0.521      0.09      1.31     60.50
 0.549      0.09      1.31     60.45
 0.578      0.11      1.32     60.40
 0.607      0.14      1.35     60.36
 0.635      0.18      1.39     60.35
 0.664      0.22      1.44     60.38
 0.692      0.27      1.49     60.43
 0.721      0.32      1.54     60.45
 0.750      0.37      1.58     60.49
 0.778      0.41      1.62     60.54
 0.807      0.44      1.65     60.58
 0.836      0.45      1.66     60.59
 0.864      0.45      1.66     60.58
 0.893      0.43      1.65     60.57
 0.921      0.42      1.64     60.67
 0.950      0.49      1.73     61.33

Overall across 30 q values:
  mean(K/C mean) = 1.56
  max(K/C mean)  = 1.91  at q=0.120
  frac q-points with mean K/C < 1: 0%
