Segment: 256 samples @ 512.0 Hz (0.5 s)
Loading surrogate from checkpoints/phenomd_nonspinning_dense30_lsmin015.pt on cuda ...
Antenna patterns (H1): F+ = 0.075  F× = -0.887
Building noise covariance matrix ...
Injecting signal at q=0.5, tc=1187008882.43 (reference approximant: IMRPhenomD) ...
Optimal SNR (HP-filtered, >=20 Hz) = 299.7
Prior: mass_ratio in [0.4, 0.95], tc in [1187008882.425000, 1187008882.435000]
Running dynesty (nlive=250, dlogz=0.5, with waveform uncertainty) ...

0it [00:00, ?it/s]
1it [00:00,  9.89it/s, bound: 0 | nc: 1 | ncall: 251 | eff(%):  0.398 | loglstar:   -inf < -105545.414 <    inf | logz: -105551.633 +/-  0.158 | dlogz:    inf >  0.500]
2it [00:00,  9.93it/s, bound: 0 | nc: 1 | ncall: 252 | eff(%):  0.794 | loglstar:   -inf < -99371.685 <    inf | logz: -99377.908 +/-  0.158 | dlogz: 117485.822 >  0.500]
3it [00:00,  9.96it/s, bound: 0 | nc: 1 | ncall: 253 | eff(%):  1.186 | loglstar:   -inf < -98045.701 <    inf | logz: -98051.928 +/-  0.158 | dlogz: 111312.094 >  0.500]
5it [00:00, 10.01it/s, bound: 0 | nc: 1 | ncall: 255 | eff(%):  1.961 | loglstar:   -inf < -87571.068 <    inf | logz: -87577.302 +/-  0.158 | dlogz: 106151.562 >  0.500]
7it [00:00,  9.99it/s, bound: 0 | nc: 1 | ncall: 257 | eff(%):  2.724 | loglstar:   -inf < -70661.602 <    inf | logz: -70667.844 +/-  0.158 | dlogz: 90349.303 >  0.500] 
9it [00:00, 10.00it/s, bound: 0 | nc: 1 | ncall: 259 | eff(%):  3.475 | loglstar:   -inf < -65707.994 <    inf | logz: -65714.244 +/-  0.158 | dlogz: 78771.466 >  0.500]
11it [00:01, 10.01it/s, bound: 0 | nc: 1 | ncall: 261 | eff(%):  4.215 | loglstar:   -inf < -64408.480 <    inf | logz: -64414.739 +/-  0.158 | dlogz: 77556.929 >  0.500]
13it [00:01, 10.02it/s, bound: 0 | nc: 1 | ncall: 263 | eff(%):  4.943 | loglstar:   -inf < -61290.249 <    inf | logz: -61296.515 +/-  0.158 | dlogz: 74918.931 >  0.500]
15it [00:01, 10.02it/s, bound: 0 | nc: 1 | ncall: 265 | eff(%):  5.660 | loglstar:   -inf < -58173.252 <    inf | logz: -58179.526 +/-  0.158 | dlogz: 70438.044 >  0.500]
17it [00:01, 10.04it/s, bound: 0 | nc: 1 | ncall: 267 | eff(%):  6.367 | loglstar:   -inf < -55385.157 <    inf | logz: -55391.439 +/-  0.158 | dlogz: 68377.532 >  0.500]
19it [00:01, 10.04it/s, bound: 0 | nc: 1 | ncall: 269 | eff(%):  7.063 | loglstar:   -inf < -53825.289 <    inf | logz: -53831.579 +/-  0.158 | dlogz: 66574.152 >  0.500]
21it [00:02, 10.03it/s, bound: 0 | nc: 1 | ncall: 271 | eff(%):  7.749 | loglstar:   -inf < -53065.245 <    inf | logz: -53071.544 +/-  0.159 | dlogz: 65062.949 >  0.500]
23it [00:02,  8.72it/s, bound: 0 | nc: 2 | ncall: 274 | eff(%):  8.394 | loglstar:   -inf < -50800.410 <    inf | logz: -50806.717 +/-  0.159 | dlogz: 64529.494 >  0.500]
25it [00:02,  8.56it/s, bound: 0 | nc: 1 | ncall: 276 | eff(%):  9.058 | loglstar:   -inf < -48543.200 <    inf | logz: -48549.515 +/-  0.159 | dlogz: 62260.183 >  0.500]
26it [00:02,  8.75it/s, bound: 0 | nc: 1 | ncall: 277 | eff(%):  9.386 | loglstar:   -inf < -46835.912 <    inf | logz: -46842.230 +/-  0.159 | dlogz: 60483.609 >  0.500]
27it [00:02,  8.97it/s, bound: 0 | nc: 1 | ncall: 278 | eff(%):  9.712 | loglstar:   -inf < -43233.728 <    inf | logz: -43240.051 +/-  0.159 | dlogz: 58776.320 >  0.500]
28it [00:02,  9.14it/s, bound: 0 | nc: 1 | ncall: 279 | eff(%): 10.036 | loglstar:   -inf < -42291.301 <    inf | logz: -42297.627 +/-  0.159 | dlogz: 55174.137 >  0.500]
30it [00:03,  9.48it/s, bound: 0 | nc: 1 | ncall: 281 | eff(%): 10.676 | loglstar:   -inf < -37323.979 <    inf | logz: -37330.313 +/-  0.159 | dlogz: 53781.686 >  0.500]
32it [00:03,  9.67it/s, bound: 0 | nc: 1 | ncall: 283 | eff(%): 11.307 | loglstar:   -inf < -37056.246 <    inf | logz: -37062.589 +/-  0.159 | dlogz: 49174.558 >  0.500]
33it [00:03,  9.73it/s, bound: 0 | nc: 1 | ncall: 284 | eff(%): 11.620 | loglstar:   -inf < -36533.071 <    inf | logz: -36539.417 +/-  0.159 | dlogz: 48996.655 >  0.500]
35it [00:03,  9.85it/s, bound: 0 | nc: 1 | ncall: 286 | eff(%): 12.238 | loglstar:   -inf < -35471.289 <    inf | logz: -35477.644 +/-  0.159 | dlogz: 48374.829 >  0.500]
37it [00:04,  7.45it/s, bound: 0 | nc: 3 | ncall: 290 | eff(%): 12.759 | loglstar:   -inf < -35282.377 <    inf | logz: -35288.739 +/-  0.159 | dlogz: 47245.750 >  0.500]
39it [00:04,  8.13it/s, bound: 0 | nc: 1 | ncall: 292 | eff(%): 13.356 | loglstar:   -inf < -34792.039 <    inf | logz: -34798.409 +/-  0.159 | dlogz: 47165.200 >  0.500]
40it [00:04,  5.69it/s, bound: 0 | nc: 4 | ncall: 296 | eff(%): 13.514 | loglstar:   -inf < -32757.416 <    inf | logz: -32763.790 +/-  0.160 | dlogz: 46732.448 >  0.500]
42it [00:04,  6.02it/s, bound: 0 | nc: 2 | ncall: 299 | eff(%): 14.047 | loglstar:   -inf < -31041.518 <    inf | logz: -31047.900 +/-  0.160 | dlogz: 44384.622 >  0.500]
44it [00:05,  6.24it/s, bound: 0 | nc: 2 | ncall: 302 | eff(%): 14.570 | loglstar:   -inf < -28200.249 <    inf | logz: -28206.639 +/-  0.160 | dlogz: 40178.877 >  0.500]
46it [00:05,  7.11it/s, bound: 0 | nc: 1 | ncall: 304 | eff(%): 15.132 | loglstar:   -inf < -26750.884 <    inf | logz: -26757.282 +/-  0.160 | dlogz: 38743.887 >  0.500]
47it [00:05,  7.51it/s, bound: 0 | nc: 1 | ncall: 305 | eff(%): 15.410 | loglstar:   -inf < -26622.284 <    inf | logz: -26628.686 +/-  0.160 | dlogz: 38691.293 >  0.500]
48it [00:05,  7.91it/s, bound: 0 | nc: 1 | ncall: 306 | eff(%): 15.686 | loglstar:   -inf < -25184.277 <    inf | logz: -25190.683 +/-  0.160 | dlogz: 38562.692 >  0.500]
49it [00:05,  8.31it/s, bound: 0 | nc: 1 | ncall: 307 | eff(%): 15.961 | loglstar:   -inf < -24884.956 <    inf | logz: -24891.366 +/-  0.160 | dlogz: 37124.686 >  0.500]
51it [00:06,  7.58it/s, bound: 0 | nc: 2 | ncall: 310 | eff(%): 16.452 | loglstar:   -inf < -22930.835 <    inf | logz: -22937.253 +/-  0.160 | dlogz: 35087.353 >  0.500]
52it [00:06,  8.01it/s, bound: 0 | nc: 1 | ncall: 311 | eff(%): 16.720 | loglstar:   -inf < -21776.889 <    inf | logz: -21783.312 +/-  0.160 | dlogz: 34871.244 >  0.500]
54it [00:06,  8.70it/s, bound: 0 | nc: 1 | ncall: 313 | eff(%): 17.252 | loglstar:   -inf < -20334.320 <    inf | logz: -20340.750 +/-  0.160 | dlogz: 33109.984 >  0.500]
55it [00:06,  8.94it/s, bound: 0 | nc: 1 | ncall: 314 | eff(%): 17.516 | loglstar:   -inf < -19922.695 <    inf | logz: -19929.129 +/-  0.160 | dlogz: 32274.728 >  0.500]
57it [00:06,  9.29it/s, bound: 0 | nc: 1 | ncall: 316 | eff(%): 18.038 | loglstar:   -inf < -19442.114 <    inf | logz: -19448.556 +/-  0.160 | dlogz: 31790.400 >  0.500]
59it [00:06,  8.15it/s, bound: 0 | nc: 2 | ncall: 319 | eff(%): 18.495 | loglstar:   -inf < -19155.416 <    inf | logz: -19161.866 +/-  0.160 | dlogz: 31282.784 >  0.500]
61it [00:07,  8.70it/s, bound: 0 | nc: 1 | ncall: 321 | eff(%): 19.003 | loglstar:   -inf < -18990.607 <    inf | logz: -18997.065 +/-  0.161 | dlogz: 30947.371 >  0.500]
63it [00:07,  9.09it/s, bound: 0 | nc: 1 | ncall: 323 | eff(%): 19.505 | loglstar:   -inf < -17231.389 <    inf | logz: -17237.855 +/-  0.161 | dlogz: 30754.132 >  0.500]
65it [00:07,  9.37it/s, bound: 0 | nc: 1 | ncall: 325 | eff(%): 20.000 | loglstar:   -inf < -16226.711 <    inf | logz: -16233.185 +/-  0.161 | dlogz: 28431.069 >  0.500]
66it [00:07,  9.34it/s, bound: 0 | nc: 1 | ncall: 326 | eff(%): 20.245 | loglstar:   -inf < -16180.957 <    inf | logz: -16187.435 +/-  0.161 | dlogz: 28167.120 >  0.500]
67it [00:07,  9.45it/s, bound: 0 | nc: 1 | ncall: 327 | eff(%): 20.489 | loglstar:   -inf < -16066.202 <    inf | logz: -16072.684 +/-  0.161 | dlogz: 28121.365 >  0.500]
69it [00:07,  9.67it/s, bound: 0 | nc: 1 | ncall: 329 | eff(%): 20.973 | loglstar:   -inf < -15152.041 <    inf | logz: -15158.532 +/-  0.161 | dlogz: 27880.555 >  0.500]
70it [00:08,  8.10it/s, bound: 0 | nc: 2 | ncall: 331 | eff(%): 21.148 | loglstar:   -inf < -14707.326 <    inf | logz: -14713.820 +/-  0.161 | dlogz: 27092.450 >  0.500]
71it [00:08,  7.10it/s, bound: 0 | nc: 2 | ncall: 333 | eff(%): 21.321 | loglstar:   -inf < -13524.314 <    inf | logz: -13530.812 +/-  0.161 | dlogz: 26647.734 >  0.500]
72it [00:08,  7.65it/s, bound: 0 | nc: 1 | ncall: 334 | eff(%): 21.557 | loglstar:   -inf < -13485.308 <    inf | logz: -13491.810 +/-  0.161 | dlogz: 25464.723 >  0.500]
74it [00:08,  7.23it/s, bound: 0 | nc: 2 | ncall: 337 | eff(%): 21.958 | loglstar:   -inf < -13295.718 <    inf | logz: -13302.228 +/-  0.161 | dlogz: 25410.173 >  0.500]
76it [00:08,  8.07it/s, bound: 0 | nc: 1 | ncall: 339 | eff(%): 22.419 | loglstar:   -inf < -12720.535 <    inf | logz: -12726.851 +/-  0.154 | dlogz: 24663.136 >  0.500]
78it [00:09,  8.66it/s, bound: 0 | nc: 1 | ncall: 341 | eff(%): 22.874 | loglstar:   -inf < -12083.966 <    inf | logz: -12090.492 +/-  0.161 | dlogz: 24623.478 >  0.500]
80it [00:09,  7.90it/s, bound: 0 | nc: 2 | ncall: 344 | eff(%): 23.256 | loglstar:   -inf < -11242.387 <    inf | logz: -11248.921 +/-  0.162 | dlogz: 23464.224 >  0.500]
81it [00:09,  7.10it/s, bound: 0 | nc: 2 | ncall: 346 | eff(%): 23.410 | loglstar:   -inf < -11131.220 <    inf | logz: -11137.758 +/-  0.162 | dlogz: 23221.977 >  0.500]
82it [00:09,  7.57it/s, bound: 0 | nc: 1 | ncall: 347 | eff(%): 23.631 | loglstar:   -inf < -10510.076 <    inf | logz: -10516.618 +/-  0.162 | dlogz: 23110.811 >  0.500]
83it [00:09,  8.02it/s, bound: 0 | nc: 1 | ncall: 348 | eff(%): 23.851 | loglstar:   -inf < -10108.409 <    inf | logz: -10114.955 +/-  0.162 | dlogz: 22489.666 >  0.500]
84it [00:10,  6.83it/s, bound: 0 | nc: 2 | ncall: 350 | eff(%): 24.000 | loglstar:   -inf < -9644.205 <    inf | logz: -9650.754 +/-  0.162 | dlogz: 22087.999 >  0.500]  
86it [00:10,  7.89it/s, bound: 0 | nc: 1 | ncall: 352 | eff(%): 24.432 | loglstar:   -inf < -7844.954 <    inf | logz: -7851.512 +/-  0.162 | dlogz: 20665.203 >  0.500]
88it [00:10,  8.58it/s, bound: 0 | nc: 1 | ncall: 354 | eff(%): 24.859 | loglstar:   -inf < -6996.320 <    inf | logz: -7002.886 +/-  0.162 | dlogz: 19784.703 >  0.500]
90it [00:10,  9.04it/s, bound: 0 | nc: 1 | ncall: 356 | eff(%): 25.281 | loglstar:   -inf < -6794.968 <    inf | logz: -6801.542 +/-  0.162 | dlogz: 18884.823 >  0.500]
92it [00:10,  8.10it/s, bound: 0 | nc: 2 | ncall: 359 | eff(%): 25.627 | loglstar:   -inf < -5827.129 <    inf | logz: -5833.710 +/-  0.162 | dlogz: 18174.214 >  0.500]
94it [00:11,  8.63it/s, bound: 0 | nc: 1 | ncall: 361 | eff(%): 26.039 | loglstar:   -inf < -5459.957 <    inf | logz: -5466.546 +/-  0.162 | dlogz: 17789.750 >  0.500]
96it [00:11,  7.89it/s, bound: 0 | nc: 2 | ncall: 364 | eff(%): 26.374 | loglstar:   -inf < -4572.132 <    inf | logz: -4578.730 +/-  0.162 | dlogz: 16882.789 >  0.500]
98it [00:11,  8.45it/s, bound: 0 | nc: 1 | ncall: 366 | eff(%): 26.776 | loglstar:   -inf < -4326.759 <    inf | logz: -4333.365 +/-  0.162 | dlogz: 16522.889 >  0.500]
100it [00:11,  8.88it/s, bound: 0 | nc: 1 | ncall: 368 | eff(%): 27.174 | loglstar:   -inf < -3907.192 <    inf | logz: -3913.806 +/-  0.162 | dlogz: 16132.761 >  0.500]
101it [00:11,  9.06it/s, bound: 0 | nc: 1 | ncall: 369 | eff(%): 27.371 | loglstar:   -inf < -3265.680 <    inf | logz: -3272.297 +/-  0.163 | dlogz: 15975.938 >  0.500]
102it [00:12,  9.20it/s, bound: 0 | nc: 1 | ncall: 370 | eff(%): 27.568 | loglstar:   -inf < -2719.029 <    inf | logz: -2725.651 +/-  0.163 | dlogz: 15334.426 >  0.500]
104it [00:12,  9.50it/s, bound: 0 | nc: 1 | ncall: 372 | eff(%): 27.957 | loglstar:   -inf < -2411.738 <    inf | logz: -2418.368 +/-  0.163 | dlogz: 14682.861 >  0.500]
106it [00:12,  9.67it/s, bound: 0 | nc: 1 | ncall: 374 | eff(%): 28.342 | loglstar:   -inf < -1871.112 <    inf | logz: -1877.749 +/-  0.163 | dlogz: 14082.570 >  0.500]
107it [00:12,  9.70it/s, bound: 0 | nc: 1 | ncall: 375 | eff(%): 28.533 | loglstar:   -inf < -1765.038 <    inf | logz: -1771.680 +/-  0.163 | dlogz: 13939.858 >  0.500]
