Segment: 256 samples @ 512.0 Hz (0.5 s)
Loading surrogate from checkpoints/phenomd_nonspinning_dense30.pt on cuda ...
Antenna patterns (H1): F+ = 0.075  F× = -0.887
Building noise covariance matrix ...
Injecting signal at q=0.5, tc=1187008882.43 (reference approximant: IMRPhenomD) ...
Optimal SNR (HP-filtered, >=20 Hz) = 299.7
Prior: mass_ratio in [0.4, 0.95], tc in [1187008882.425000, 1187008882.435000]
Running dynesty (nlive=250, dlogz=0.5, with waveform uncertainty) ...

0it [00:00, ?it/s]
1it [00:00,  4.91it/s, bound: 0 | nc: 1 | ncall: 251 | eff(%):  0.398 | loglstar:   -inf < -109726.637 <    inf | logz: -109732.856 +/-  0.158 | dlogz:    inf >  0.500]
2it [00:00,  4.85it/s, bound: 0 | nc: 1 | ncall: 252 | eff(%):  0.794 | loglstar:   -inf < -109334.857 <    inf | logz: -109341.080 +/-  0.158 | dlogz: 111732.869 >  0.500]
3it [00:00,  5.87it/s, bound: 0 | nc: 1 | ncall: 253 | eff(%):  1.186 | loglstar:   -inf < -108988.804 <    inf | logz: -108995.030 +/-  0.158 | dlogz: 111341.089 >  0.500]
5it [00:00,  7.66it/s, bound: 0 | nc: 1 | ncall: 255 | eff(%):  1.961 | loglstar:   -inf < -105804.058 <    inf | logz: -105810.292 +/-  0.158 | dlogz: 109962.073 >  0.500]
6it [00:00,  7.91it/s, bound: 0 | nc: 1 | ncall: 256 | eff(%):  2.344 | loglstar:   -inf < -99096.803 <    inf | logz: -99103.042 +/-  0.158 | dlogz: 107810.290 >  0.500]  
7it [00:01,  7.51it/s, bound: 0 | nc: 1 | ncall: 257 | eff(%):  2.724 | loglstar:   -inf < -97914.224 <    inf | logz: -97920.467 +/-  0.158 | dlogz: 101103.035 >  0.500]
8it [00:01,  7.32it/s, bound: 0 | nc: 1 | ncall: 258 | eff(%):  3.101 | loglstar:   -inf < -97680.500 <    inf | logz: -97686.747 +/-  0.158 | dlogz: 99920.456 >  0.500] 
9it [00:01,  6.78it/s, bound: 0 | nc: 1 | ncall: 259 | eff(%):  3.475 | loglstar:   -inf < -97533.962 <    inf | logz: -97540.212 +/-  0.158 | dlogz: 99686.732 >  0.500]
10it [00:01,  7.18it/s, bound: 0 | nc: 1 | ncall: 260 | eff(%):  3.846 | loglstar:   -inf < -97133.864 <    inf | logz: -97140.118 +/-  0.158 | dlogz: 99540.193 >  0.500]
11it [00:01,  6.02it/s, bound: 0 | nc: 1 | ncall: 261 | eff(%):  4.215 | loglstar:   -inf < -96315.374 <    inf | logz: -96321.633 +/-  0.158 | dlogz: 99140.095 >  0.500]
12it [00:01,  6.60it/s, bound: 0 | nc: 1 | ncall: 262 | eff(%):  4.580 | loglstar:   -inf < -95917.311 <    inf | logz: -95923.574 +/-  0.158 | dlogz: 98321.606 >  0.500]
13it [00:01,  7.31it/s, bound: 0 | nc: 1 | ncall: 263 | eff(%):  4.943 | loglstar:   -inf < -93953.907 <    inf | logz: -93960.174 +/-  0.158 | dlogz: 97923.543 >  0.500]
14it [00:02,  7.15it/s, bound: 0 | nc: 1 | ncall: 264 | eff(%):  5.303 | loglstar:   -inf < -92151.836 <    inf | logz: -92158.107 +/-  0.158 | dlogz: 95960.139 >  0.500]
15it [00:02,  7.53it/s, bound: 0 | nc: 1 | ncall: 265 | eff(%):  5.660 | loglstar:   -inf < -91275.639 <    inf | logz: -91281.914 +/-  0.158 | dlogz: 94158.068 >  0.500]
16it [00:02,  7.03it/s, bound: 0 | nc: 1 | ncall: 266 | eff(%):  6.015 | loglstar:   -inf < -91057.680 <    inf | logz: -91063.958 +/-  0.158 | dlogz: 93281.871 >  0.500]
17it [00:02,  6.88it/s, bound: 0 | nc: 1 | ncall: 267 | eff(%):  6.367 | loglstar:   -inf < -90272.653 <    inf | logz: -90278.935 +/-  0.158 | dlogz: 93063.912 >  0.500]
18it [00:02,  6.04it/s, bound: 0 | nc: 1 | ncall: 268 | eff(%):  6.716 | loglstar:   -inf < -88929.565 <    inf | logz: -88935.851 +/-  0.158 | dlogz: 92278.884 >  0.500]
19it [00:02,  6.49it/s, bound: 0 | nc: 1 | ncall: 269 | eff(%):  7.063 | loglstar:   -inf < -88780.455 <    inf | logz: -88786.745 +/-  0.158 | dlogz: 90935.796 >  0.500]
20it [00:02,  6.21it/s, bound: 0 | nc: 1 | ncall: 270 | eff(%):  7.407 | loglstar:   -inf < -88311.871 <    inf | logz: -88318.166 +/-  0.159 | dlogz: 90786.687 >  0.500]
21it [00:03,  6.84it/s, bound: 0 | nc: 1 | ncall: 271 | eff(%):  7.749 | loglstar:   -inf < -86431.322 <    inf | logz: -86437.620 +/-  0.159 | dlogz: 90318.103 >  0.500]
22it [00:03,  7.55it/s, bound: 0 | nc: 1 | ncall: 272 | eff(%):  8.088 | loglstar:   -inf < -85983.564 <    inf | logz: -85989.867 +/-  0.159 | dlogz: 88437.554 >  0.500]
23it [00:03,  7.72it/s, bound: 0 | nc: 1 | ncall: 273 | eff(%):  8.425 | loglstar:   -inf < -85814.902 <    inf | logz: -85821.208 +/-  0.159 | dlogz: 87989.796 >  0.500]
25it [00:03,  8.67it/s, bound: 0 | nc: 1 | ncall: 275 | eff(%):  9.091 | loglstar:   -inf < -85208.028 <    inf | logz: -85214.343 +/-  0.159 | dlogz: 87386.900 >  0.500]
27it [00:03,  9.19it/s, bound: 0 | nc: 1 | ncall: 277 | eff(%):  9.747 | loglstar:   -inf < -84896.598 <    inf | logz: -84902.920 +/-  0.159 | dlogz: 87151.626 >  0.500]
29it [00:03,  9.53it/s, bound: 0 | nc: 1 | ncall: 279 | eff(%): 10.394 | loglstar:   -inf < -84672.726 <    inf | logz: -84679.056 +/-  0.159 | dlogz: 86710.715 >  0.500]
30it [00:04,  7.96it/s, bound: 0 | nc: 2 | ncall: 281 | eff(%): 10.676 | loglstar:   -inf < -84409.865 <    inf | logz: -84416.200 +/-  0.159 | dlogz: 86678.958 >  0.500]
31it [00:04,  6.85it/s, bound: 0 | nc: 2 | ncall: 283 | eff(%): 10.954 | loglstar:   -inf < -83556.559 <    inf | logz: -83562.897 +/-  0.159 | dlogz: 86416.097 >  0.500]
32it [00:04,  6.50it/s, bound: 0 | nc: 1 | ncall: 284 | eff(%): 11.268 | loglstar:   -inf < -82511.495 <    inf | logz: -82517.837 +/-  0.159 | dlogz: 85562.790 >  0.500]
33it [00:04,  6.70it/s, bound: 0 | nc: 1 | ncall: 285 | eff(%): 11.579 | loglstar:   -inf < -82266.890 <    inf | logz: -82273.236 +/-  0.159 | dlogz: 84517.727 >  0.500]
34it [00:04,  6.84it/s, bound: 0 | nc: 1 | ncall: 286 | eff(%): 11.888 | loglstar:   -inf < -81923.105 <    inf | logz: -81929.456 +/-  0.159 | dlogz: 84273.122 >  0.500]
35it [00:04,  7.34it/s, bound: 0 | nc: 1 | ncall: 287 | eff(%): 12.195 | loglstar:   -inf < -81878.864 <    inf | logz: -81885.218 +/-  0.159 | dlogz: 83929.337 >  0.500]
36it [00:05,  6.61it/s, bound: 0 | nc: 1 | ncall: 288 | eff(%): 12.500 | loglstar:   -inf < -81217.372 <    inf | logz: -81223.730 +/-  0.159 | dlogz: 83885.096 >  0.500]
37it [00:05,  5.97it/s, bound: 0 | nc: 1 | ncall: 289 | eff(%): 12.803 | loglstar:   -inf < -81112.412 <    inf | logz: -81118.774 +/-  0.159 | dlogz: 83223.604 >  0.500]
38it [00:05,  5.39it/s, bound: 0 | nc: 1 | ncall: 290 | eff(%): 13.103 | loglstar:   -inf < -80204.652 <    inf | logz: -80211.019 +/-  0.159 | dlogz: 83118.644 >  0.500]
39it [00:05,  5.28it/s, bound: 0 | nc: 1 | ncall: 291 | eff(%): 13.402 | loglstar:   -inf < -80139.545 <    inf | logz: -80145.915 +/-  0.159 | dlogz: 82210.884 >  0.500]
