Segment: 256 samples @ 512.0 Hz (0.5 s)
Loading surrogate from checkpoints/phenomd_nonspinning_dense30.pt on cuda ...
Antenna patterns (H1): F+ = 0.075  F× = -0.887
Building noise covariance matrix ...
Injecting signal at q=0.7, tc=1187008882.43 (reference approximant: IMRPhenomD) ...
Optimal SNR (HP-filtered, >=20 Hz) = 316.9
Prior: mass_ratio in [0.4, 0.95], tc in [1187008882.425000, 1187008882.435000]
Running dynesty (nlive=250, dlogz=0.5, with waveform uncertainty) ...

0it [00:00, ?it/s]
1it [00:00,  5.12it/s, bound: 0 | nc: 1 | ncall: 251 | eff(%):  0.398 | loglstar:   -inf < -80385.286 <    inf | logz: -80391.505 +/-  0.158 | dlogz:    inf >  0.500]
2it [00:00,  4.41it/s, bound: 0 | nc: 1 | ncall: 252 | eff(%):  0.794 | loglstar:   -inf < -78745.098 <    inf | logz: -78751.320 +/-  0.158 | dlogz: 88741.169 >  0.500]
3it [00:00,  4.66it/s, bound: 0 | nc: 1 | ncall: 253 | eff(%):  1.186 | loglstar:   -inf < -78474.918 <    inf | logz: -78481.144 +/-  0.158 | dlogz: 87100.980 >  0.500]
4it [00:00,  4.79it/s, bound: 0 | nc: 1 | ncall: 254 | eff(%):  1.575 | loglstar:   -inf < -76679.380 <    inf | logz: -76685.611 +/-  0.158 | dlogz: 86830.800 >  0.500]
5it [00:01,  4.87it/s, bound: 0 | nc: 1 | ncall: 255 | eff(%):  1.961 | loglstar:   -inf < -76355.187 <    inf | logz: -76361.421 +/-  0.158 | dlogz: 85035.262 >  0.500]
6it [00:01,  4.91it/s, bound: 0 | nc: 1 | ncall: 256 | eff(%):  2.344 | loglstar:   -inf < -75315.672 <    inf | logz: -75321.911 +/-  0.158 | dlogz: 84711.069 >  0.500]
7it [00:01,  4.94it/s, bound: 0 | nc: 1 | ncall: 257 | eff(%):  2.724 | loglstar:   -inf < -74968.501 <    inf | logz: -74974.743 +/-  0.158 | dlogz: 83671.555 >  0.500]
8it [00:01,  5.29it/s, bound: 0 | nc: 1 | ncall: 258 | eff(%):  3.101 | loglstar:   -inf < -74687.837 <    inf | logz: -74694.084 +/-  0.158 | dlogz: 83324.383 >  0.500]
10it [00:01,  6.75it/s, bound: 0 | nc: 1 | ncall: 260 | eff(%):  3.846 | loglstar:   -inf < -73574.974 <    inf | logz: -73581.229 +/-  0.158 | dlogz: 83002.753 >  0.500]
11it [00:01,  7.34it/s, bound: 0 | nc: 1 | ncall: 261 | eff(%):  4.215 | loglstar:   -inf < -73286.593 <    inf | logz: -73292.851 +/-  0.158 | dlogz: 81930.857 >  0.500]
13it [00:02,  8.21it/s, bound: 0 | nc: 1 | ncall: 263 | eff(%):  4.943 | loglstar:   -inf < -71575.026 <    inf | logz: -71581.293 +/-  0.158 | dlogz: 80942.412 >  0.500]
14it [00:02,  8.56it/s, bound: 0 | nc: 1 | ncall: 264 | eff(%):  5.303 | loglstar:   -inf < -71460.341 <    inf | logz: -71466.611 +/-  0.158 | dlogz: 79930.909 >  0.500]
15it [00:02,  8.87it/s, bound: 0 | nc: 1 | ncall: 265 | eff(%):  5.660 | loglstar:   -inf < -70870.399 <    inf | logz: -70876.673 +/-  0.158 | dlogz: 79816.223 >  0.500]
16it [00:02,  9.13it/s, bound: 0 | nc: 1 | ncall: 266 | eff(%):  6.015 | loglstar:   -inf < -67982.741 <    inf | logz: -67989.019 +/-  0.158 | dlogz: 79226.281 >  0.500]
18it [00:02,  9.42it/s, bound: 0 | nc: 1 | ncall: 268 | eff(%):  6.716 | loglstar:   -inf < -65913.135 <    inf | logz: -65919.422 +/-  0.158 | dlogz: 74944.456 >  0.500]
19it [00:02,  9.54it/s, bound: 0 | nc: 1 | ncall: 269 | eff(%):  7.063 | loglstar:   -inf < -65516.579 <    inf | logz: -65522.870 +/-  0.158 | dlogz: 74269.018 >  0.500]
20it [00:02,  9.28it/s, bound: 0 | nc: 1 | ncall: 270 | eff(%):  7.407 | loglstar:   -inf < -64842.530 <    inf | logz: -64848.824 +/-  0.159 | dlogz: 73872.462 >  0.500]
21it [00:02,  9.46it/s, bound: 0 | nc: 1 | ncall: 271 | eff(%):  7.749 | loglstar:   -inf < -64654.003 <    inf | logz: -64660.302 +/-  0.159 | dlogz: 73198.412 >  0.500]
22it [00:03,  7.63it/s, bound: 0 | nc: 1 | ncall: 272 | eff(%):  8.088 | loglstar:   -inf < -63274.645 <    inf | logz: -63280.947 +/-  0.159 | dlogz: 73009.886 >  0.500]
23it [00:03,  6.55it/s, bound: 0 | nc: 1 | ncall: 273 | eff(%):  8.425 | loglstar:   -inf < -62688.725 <    inf | logz: -62695.032 +/-  0.159 | dlogz: 71630.527 >  0.500]
