Segment: 256 samples @ 512.0 Hz (0.5 s)
Loading surrogate from checkpoints/phenomd_nonspinning_dense30.pt on cuda ...
Antenna patterns (H1): F+ = 0.075  F× = -0.887
Building noise covariance matrix ...
Injecting signal at q=0.7, tc=1187008882.43 (reference approximant: IMRPhenomD) ...
Optimal SNR (HP-filtered, >=20 Hz) = 316.9
Prior: mass_ratio in [0.4, 0.95], tc in [1187008882.425000, 1187008882.435000]
Running dynesty (nlive=250, dlogz=0.5, without waveform uncertainty) ...

0it [00:00, ?it/s]
2it [00:00, 10.19it/s, bound: 0 | nc: 1 | ncall: 252 | eff(%):  0.794 | loglstar:   -inf < -96598.677 <    inf | logz: -96604.900 +/-  0.158 | dlogz: 103878.534 >  0.500]
4it [00:00, 10.23it/s, bound: 0 | nc: 1 | ncall: 254 | eff(%):  1.575 | loglstar:   -inf < -95504.908 <    inf | logz: -95511.139 +/-  0.158 | dlogz: 102585.818 >  0.500]
6it [00:00, 10.24it/s, bound: 0 | nc: 1 | ncall: 256 | eff(%):  2.344 | loglstar:   -inf < -94708.206 <    inf | logz: -94714.444 +/-  0.158 | dlogz: 102013.521 >  0.500]
8it [00:00, 10.24it/s, bound: 0 | nc: 1 | ncall: 258 | eff(%):  3.101 | loglstar:   -inf < -92372.394 <    inf | logz: -92378.641 +/-  0.158 | dlogz: 99699.246 >  0.500] 
10it [00:00, 10.25it/s, bound: 0 | nc: 1 | ncall: 260 | eff(%):  3.846 | loglstar:   -inf < -91740.965 <    inf | logz: -91747.219 +/-  0.158 | dlogz: 99030.092 >  0.500]
12it [00:01, 10.26it/s, bound: 0 | nc: 1 | ncall: 262 | eff(%):  4.580 | loglstar:   -inf < -91150.866 <    inf | logz: -91157.129 +/-  0.158 | dlogz: 98188.339 >  0.500]
14it [00:01, 10.25it/s, bound: 0 | nc: 1 | ncall: 264 | eff(%):  5.303 | loglstar:   -inf < -90724.411 <    inf | logz: -90730.681 +/-  0.158 | dlogz: 97964.594 >  0.500]
16it [00:01, 10.24it/s, bound: 0 | nc: 1 | ncall: 266 | eff(%):  6.015 | loglstar:   -inf < -89644.911 <    inf | logz: -89651.189 +/-  0.158 | dlogz: 97019.870 >  0.500]
18it [00:01, 10.25it/s, bound: 0 | nc: 1 | ncall: 268 | eff(%):  6.716 | loglstar:   -inf < -88971.878 <    inf | logz: -88978.165 +/-  0.158 | dlogz: 96360.532 >  0.500]
20it [00:01, 10.25it/s, bound: 0 | nc: 1 | ncall: 270 | eff(%):  7.407 | loglstar:   -inf < -88426.232 <    inf | logz: -88432.526 +/-  0.159 | dlogz: 95714.809 >  0.500]
22it [00:02,  8.88it/s, bound: 0 | nc: 2 | ncall: 273 | eff(%):  8.059 | loglstar:   -inf < -85642.841 <    inf | logz: -85649.144 +/-  0.159 | dlogz: 93990.904 >  0.500]
24it [00:02,  8.15it/s, bound: 0 | nc: 2 | ncall: 276 | eff(%):  8.696 | loglstar:   -inf < -84911.436 <    inf | logz: -84917.746 +/-  0.159 | dlogz: 92446.544 >  0.500]
26it [00:02,  7.71it/s, bound: 0 | nc: 2 | ncall: 279 | eff(%):  9.319 | loglstar:   -inf < -83841.414 <    inf | logz: -83847.732 +/-  0.159 | dlogz: 91813.537 >  0.500]
28it [00:03,  8.34it/s, bound: 0 | nc: 1 | ncall: 281 | eff(%):  9.964 | loglstar:   -inf < -83261.268 <    inf | logz: -83267.594 +/-  0.159 | dlogz: 90369.067 >  0.500]
30it [00:03,  8.83it/s, bound: 0 | nc: 1 | ncall: 283 | eff(%): 10.601 | loglstar:   -inf < -83220.054 <    inf | logz: -83226.389 +/-  0.159 | dlogz: 90198.108 >  0.500]
32it [00:03,  9.20it/s, bound: 0 | nc: 1 | ncall: 285 | eff(%): 11.228 | loglstar:   -inf < -82594.450 <    inf | logz: -82600.792 +/-  0.159 | dlogz: 89648.062 >  0.500]
34it [00:03,  9.49it/s, bound: 0 | nc: 1 | ncall: 287 | eff(%): 11.847 | loglstar:   -inf < -81545.594 <    inf | logz: -81551.944 +/-  0.159 | dlogz: 88580.336 >  0.500]
35it [00:03,  9.39it/s, bound: 0 | nc: 1 | ncall: 288 | eff(%): 12.153 | loglstar:   -inf < -81514.112 <    inf | logz: -81520.466 +/-  0.159 | dlogz: 88493.366 >  0.500]
37it [00:03,  9.64it/s, bound: 0 | nc: 1 | ncall: 290 | eff(%): 12.759 | loglstar:   -inf < -81231.106 <    inf | logz: -81237.468 +/-  0.159 | dlogz: 88328.613 >  0.500]
39it [00:04,  9.81it/s, bound: 0 | nc: 1 | ncall: 292 | eff(%): 13.356 | loglstar:   -inf < -80426.414 <    inf | logz: -80432.785 +/-  0.159 | dlogz: 87990.532 >  0.500]
40it [00:04,  8.37it/s, bound: 0 | nc: 2 | ncall: 294 | eff(%): 13.605 | loglstar:   -inf < -80133.554 <    inf | logz: -80139.929 +/-  0.160 | dlogz: 87374.186 >  0.500]
42it [00:04,  8.93it/s, bound: 0 | nc: 1 | ncall: 296 | eff(%): 14.189 | loglstar:   -inf < -79811.904 <    inf | logz: -79818.287 +/-  0.160 | dlogz: 86910.384 >  0.500]
44it [00:04,  8.10it/s, bound: 0 | nc: 2 | ncall: 299 | eff(%): 14.716 | loglstar:   -inf < -78570.100 <    inf | logz: -78576.490 +/-  0.160 | dlogz: 85828.392 >  0.500]
46it [00:04,  8.67it/s, bound: 0 | nc: 1 | ncall: 301 | eff(%): 15.282 | loglstar:   -inf < -78206.346 <    inf | logz: -78212.744 +/-  0.160 | dlogz: 85219.005 >  0.500]
48it [00:05,  9.09it/s, bound: 0 | nc: 1 | ncall: 303 | eff(%): 15.842 | loglstar:   -inf < -77727.775 <    inf | logz: -77734.181 +/-  0.160 | dlogz: 84938.712 >  0.500]
